Artist,Number of Searches
Green Day,11160000000
Linkin Park,50000000
The White Stripes,384000000
Red Hot Chili Peppers,144000000
Nickelback,14100000
Evanescence,19200000
Papa Roach,13400000
Jet,1240000000
The Killers,121000000
Kings of Leon,44200000
Jimmy Eat World,69300000
Linkin Park,50000000
Alien Ant Farm,7150000
Red Hot Chili Peppers,144000000
System Of A Down,5670000000
Franz Ferdinand,check
blink-182,36700000
Foo Fighters,46500000
Panic! At The Disco,63400000
3 Doors Down,741000000
Thirty Seconds To Mars,12900000
Kings of Leon,44200000
Queens of the Stone Age,47500000
Caesars,413000000
Muse,267000000
Plain White T's,9100000
Puddle Of Mudd,1560000
Green Day,11160000000
My Chemical Romance,38200000
The All-American Rejects,57700000
Foo Fighters,46500000
Audioslave,6660000
Staind,6740000
Three Days Grace,300000000
Limp Bizkit,9970000
Sum 41,587000000
Foo Fighters,46500000
Rise Against,1270000000
Drowning Pool,30000000
Fall Out Boy,1210000000
The Strokes,164000000
Stone Sour,49900000
Breaking Benjamin,97600000
Disturbed,132000000
Incubus,14600000
P.O.D.,1380000000
U2,205000000
AFI,41900000
Arctic Monkeys,32900000
The Raconteurs,2230000
Korn,66000000
Hoobastank,2360000
Godsmack,7270000
Wolfmother,1830000
Audioslave,6660000
Chevelle,42200000
Seether,5870000
Muse,267000000
Deftones,10500000
A Perfect Circle,1520000000
Bad Bunny,220000000
DJ Snake,128000000
Dillon Francis,25400000
Cris Cab,3000000
Bazzi,15100000
Lele Pons,19000000
Fuego,247000000
Camila Cabello,57200000
COASTCITY,3420000
Dalex,2930000
Gucci Mane,36400000
Marc Anthony,218000000
Miguel,947000000
BIA,135000000
Kap G,63100000
Melii,1550000
Mariah,138000000
A.CHAL,63400000
Cuco,47100000
Katzù Oso,99100
Jessie Reyez,4980000
Kali Uchis,2800000
Omar Apollo,7890000
Rudy Mancuso,4570000
Matt Hunter,154000000
6ix9ine,20900000
Cardi B,221000000
Becky G,125000000
Camila Cabello,57200000
Sammi Sanchez,1470000
Jesse Baez,2980000
Kim Viera,9290000
Breakfast n Vegas,68500000
Messiah,58600000
Leslie Grace,74100000
Pharrell Williams,63500000
DaniLeigh,1220000
Spiff TV,805000
Nina Sky,check
Dj Kass,6130000
Paula DeAnda,594000
Sofia Reyes,44300000
Tory Lanez,12900000
SUPER JUNIOR,892000000
Snow Tha Product,12100000
Jackie Cruz,37500000
Trinidad Cardona,5450000
Messiah,58600000
DJ Africa,363000000
Michl,4250000
Ne-Yo,744000000
Anthony Ramos,45800000
Amara La Negra,6790000
Play-N-Skillz,2610000
Bruno Mars,172000000
Fancy Cars,173000000
Salaam Remi,3190000
N.O.R.E.,12200000
Lil Eddie,24600000
Beyoncé,402000
Justin Timberlake,102000000
Sean Kingston,23900000
Britney Spears,169000000
Michael Jackson,934000000
Usher,77500000
T.I.,3160000000
Shakira,98900000
Train,2250000000
Foster The People,check
Michael Jackson,946000000
The Script,1340000000
John Legend,595000000
Train,2090000000
Miley Cyrus,174000000
Christina Aguilera,76100000
Kelly Clarkson,72000000
OutKast,10100000
Kesha,23400000
Chris Brown,1220000000
Justin Timberlake,102000000
Chris Brown,1220000000
The Script,1340000000
Pitbull,98700000
*NSYNC,9310000
Avril Lavigne,51400000
Mario,1150000000
Christina Aguilera,76100000
P!nk,455000000
Pitbull,98700000
One Direction,1270000000
Alicia Keys,62600000
Avril Lavigne,51400000
Britney Spears,169000000
Pitbull,98700000
Beyoncé,402000
Leona Lewis,21700000
Destiny's Child,15400000
Sara Bareilles,16100000
OutKast,10100000
Kesha,23400000
Destiny's Child,15400000
Britney Spears,169000000
Justin Timberlake,102000000
Daft Punk,32300000
T.I.,3150000000
Ciara,67000000
Natasha Bedingfield,6530000
Miley Cyrus,159000000
P!nk,455000000
Shakira,98000000
Beyoncé,402000
*NSYNC,9310000
Usher,96000000
Kings of Leon,41400000
Kelly Clarkson,72100000
The Fray,72200000
The Script,1160000000
Avril Lavigne,46600000
Alicia Keys,62600000
Kings of Leon,41400000
The Fray,72200000
Gavin DeGraw,2640000
Carrie Underwood,55200000
Christina Aguilera,62300000
Usher,96000000
Alicia Keys,70300000
The Calling,7900000000
The Fray,72200000
Destiny's Child,13400000
Kelly Clarkson,72100000
P!nk,455000000
Good Charlotte,659000000
Gavin DeGraw,2640000
OutKast,10600000
Leona Lewis,20000000
Daughtry,9490000
Boys Like Girls,2200000000
John Mayer,114000000
Five For Fighting,658000000
Marc Anthony,218000000
Celia Cruz,26100000
Kaoma,1990000
Juanes,10700000
Carlos Vives,32900000
Elvis Crespo,5720000
Enrique Iglesias,71000000
Don Omar,228000000
Miami Sound Machine,37900000
Juan Luis Guerra 4.40,373000
Celia Cruz,26100000
Los Fabulosos Cadillacs,1840000
Selena,237000000
Shakira,98000000
J Balvin,57500000
Aventura,294000000
Jennifer Lopez,277000000
Tito Puente,10900000
Luis Fonsi,34400000
Gipsy Kings,11700000
Rubén Blades,58500
Daddy Yankee,71900000
Pérez Prado,check
Soda Stereo,14000000
Los Del Rio,929000000
Los Lobos,70500000
Juan Gabriel,259000000
Santana,328000000
Café Tacvba,329000
Alejandro Sanz,31000000
Pitbull,126000000
Ricky Martin,119000000
Joe Arroyo,11600000
Silvio Rodríguez,11400
Rocío Dúrcal,1310
Consuelo Velázquez,10500
Sergio Mendes & Brasil '66,31500000
Héctor Lavoe,24900
Buena Vista Social Club,42700000
Roberto Carlos,323000000
Stan Getz,7820000
Maná,280000
Calle 13,683000000
Julio Iglesias,90400000
Joan Manuel Serrat,4660000
Violeta Parra,9480000
Gerardo Matos Rodriguez,2810000
Lola Beltrán,150000
José Alfredo Jimenez,25500000
José Feliciano,24800000
Jimi Hendrix,64100000
The Who,11980000000
The Rolling Stones,219000000
The Doors,925000000
Led Zeppelin,100000000
The Beatles,179000000
Cream,2240000000
The Kinks,24200000
The Beach Boys,855000000
Roy Orbison,11200000
The Beatles,179000000
Buffalo Springfield,49800000
Creedence Clearwater Revival,10300000
Steppenwolf,7880000
The Animals,8240000000
The Kingsmen,18200000
Marvin Gaye,20700000
Tommy James & The Shondells,185000000
Santana,291000000
Jimi Hendrix,56100000
The Mamas & The Papas,74000000
Bob Dylan,161000000
"Crosby, Stills & Nash",8530000
The Byrds,7460000
The Beatles,179000000
The Doors,905000000
The Who,13010000000
Simon & Garfunkel,1010000000
Booker T. & the M.G.'s,66500000
Neil Diamond,68500000
The Young Rascals,9090000
Chubby Checker,5050000
Cream,1730000000
Ray Charles,531000000
Creedence Clearwater Revival,10300000
Led Zeppelin,100000000
Blue Cheer,238000000
The Beatles,179000000
Dion,112000000
The Kinks,24200000
Ike & Tina Turner,117000000
The Lovin' Spoonful,2040000
The Rolling Stones,198000000
Jimi Hendrix,55500000
Jefferson Airplane,12900000
The Chambers Brothers,37000000
The Yardbirds,6510000
The Lovin' Spoonful,2040000
The Rolling Stones,193000000
The Beach Boys,918000000
Count Five,1270000000
The Beatles,179000000
The Moody Blues,24500000
David Bowie,136000000
Steppenwolf,7880000
The Searchers,12900000
The Band,3390000000
Sam Cooke,31800000
Creedence Clearwater Revival,10300000
Roy Orbison,11200000
The Beatles,179000000
The Miracles,93400000
The Bobby Fuller Four,9450000
Bob Dylan,161000000
The Rolling Stones,193000000
The Doors,802000000
The Beatles,179000000
Led Zeppelin,100000000
Van Morrison,102000000
The Rolling Stones,193000000
The Doors,925000000
Jan & Dean,9890000000
Jefferson Airplane,12900000
Creedence Clearwater Revival,10300000
The Beach Boys,918000000
The Byrds,7010000
The Beatles,179000000
Deep Purple,1480000000
The Yardbirds,6510000
The Rolling Stones,193000000
Bob Dylan,161000000
The Beach Boys,918000000
The Spencer Davis Group,79600000
Them,8200000000
Small Faces,483000000
The Troggs,1050000
The Zombies,495000000
Pink Floyd,144000000
Love,13080000000
Count Five,1270000000
The 13th Floor Elevators,2260000
The Electric Prunes,2280000
? & The Mysterians,1610000000
The Sonics,7280000
MC5,60400000
The Monks,51700000
The Stooges,10500000
The Velvet Underground,28400000
The Byrds,7010000
The Surfaris,618000
Extreme,1350000000
Tom Petty,68200000
Fleetwood Mac,53400000
Bill Withers,10400000
Eagles,1840000000
Tracy Chapman,27700000
Carly Simon,24800000
Kansas,533000000
Faces,8040000000
James Taylor,788000000
Bob Marley & The Wailers,123000000
Van Morrison,102000000
Bruce Springsteen,39400000
Neil Young,328000000
Dolly Parton,30600000
Elton John,85700000
Phil Collins,103000000
Chris Isaak,6630000
Leonard Cohen,70100000
George Harrison,228000000
America,6010000000
Dolly Parton,30600000
The Beatles,179000000
Rod Stewart,117000000
Paul Simon,622000000
Carole King,47400000
Janis Joplin,22600000
Gordon Lightfoot,9990000
Nick Drake,76000000
Jim Croce,9420000
Led Zeppelin,100000000
Neil Young,335000000
Johnny Cash,157000000
The Beatles,174000000
Yusuf / Cat Stevens,1630000
Joni Mitchell,23300000
Fleetwood Mac,53400000
Bob Dylan,161000000
John Lennon,102000000
Paul McCartney,146000000
Suzanne Vega,16400000
Commodores,72300000
Joe Cocker,24400000
David Bowie,136000000
Depeche Mode,39600000
Kate Bush,113000000
Stealers Wheel,793000
"Grover Washington, Jr.",10500000
Carole King,47400000
Simon & Garfunkel,999000000
"Crosby, Stills, Nash & Young",6320000
Van Morrison,102000000
Leonard Cohen,70100000
George Harrison,228000000
John Lennon,102000000
Peter Frampton,10600000
Peter Gabriel,215000000
Emmylou Harris,7440000
Karen Dalton,20900000
Chicago,2010000000
Grateful Dead,118000000
Joe Cocker,23800000
Linda Ronstadt,8550000
Queen,2650000000
Led Zeppelin,100000000
Eagles,1840000000
The Clash,286000000
The Doors,925000000
KISS,1760000000
The Who,12960000000
David Bowie,136000000
Creedence Clearwater Revival,10300000
Janis Joplin,22600000
The Rolling Stones,193000000
John Lennon,102000000
The Beatles,179000000
Aerosmith,27800000
The Police,2670000000
AC/DC,1340000000
T. Rex,551000000
Deep Purple,1480000000
Santana,291000000
The Police,2670000000
Lynyrd Skynyrd,13000000
Eric Clapton,37000000
The Kinks,24200000
Led Zeppelin,100000000
Ramones,35500000
Cheap Trick,278000000
KISS,1760000000
Manfred Mann's Earth Band,2970000
Tom Petty and the Heartbreakers,4610000
Pink Floyd,144000000
Pink Floyd,144000000
Bruce Springsteen,39400000
Derek & The Dominos,274000000
The Cars,10980000000
Sex Pistols,48500000
Don McLean,84900000
Jethro Tull,10700000
The Who,12920000000
Black Sabbath,52600000
Thin Lizzy,14900000
Aerosmith,27800000
Rod Stewart,117000000
Steve Miller Band,58500000
Queen,2650000000
Lou Reed,43900000
The Rolling Stones,193000000
The Guess Who,1330000000
Blue Öyster Cult,40600
Neil Young,275000000
Jackson Browne,27800000
Dire Straits,22900000
Elton John,85100000
Fleetwood Mac,53400000
Queen,2650000000
Bachman-Turner Overdrive,894000
Pink Floyd,144000000
Yes,3580000000
The Allman Brothers Band,8000000
James Taylor,854000000
George Harrison,228000000
The Who,12910000000
Blondie,132000000
The Knack,43200000
Elton John,85100000
Eddie Money,136000000
Bob Dylan,161000000
Van Halen,86700000
Rush,572000000
Mott The Hoople,2360000
Free,20450000000
Bruce Springsteen,39400000
Heart,5340000000
Sweet,4340000000
Ram Jam,72700000
The Rolling Stones,223000000
Paul McCartney,146000000
Tom Petty and the Heartbreakers,4610000
Kansas,536000000
Ted Nugent,9290000
Simon & Garfunkel,check
Van Morrison,102000000
Bad Company,2760000000
ZZ Top,156000000
The Doobie Brothers,6510000
Boston,1310000000
Styx,23800000
Supertramp,9530000
Jackson Browne,27800000
Bad Company,2760000000
Peter Frampton,10600000
The Doors,926000000
Genesis,278000000
Bob Dylan,161000000
Steely Dan,15300000
Eagles,1840000000
Joe Walsh,73500000
Jethro Tull,check
Neil Young,275000000
Electric Light Orchestra,40600000
Meat Loaf,130000000
Guns N' Roses,80500000
Van Halen,85500000
Scorpions,416000000
Mötley Crüe,19500
Def Leppard,16300000
Whitesnake,22600000
Ozzy Osbourne,28000000
Bon Jovi,45700000
Winger,44400000
Cinderella,164000000
Dio,462000000
Ratt,164000000
Bon Jovi,45700000
Quiet Riot,21800000
Europe,6010000000
Mötley Crüe,19500
Scorpions,429000000
Lita Ford,8520000
Guns N' Roses,80500000
Poison,298000000
Whitesnake,22700000
KISS,1900000000
Great White,9380000000
Bon Jovi,45700000
Cinderella,164000000
Ratt,164000000
Mötley Crüe,19500
Whitesnake,22700000
Bon Jovi,45700000
Guns N' Roses,80400000
Quiet Riot,21800000
Van Halen,95100000
Europe,7020000000
Poison,298000000
Loverboy,13900000
Dio,462000000
Mötley Crüe,19500
Ratt,133000000
Twisted Sister,61900000
Warrant,245000000
Y&T,19560000000
Skid Row,41100000
KISS,1760000000
Aerosmith,29100000
Cinderella,170000000
Dokken,8890000
Alice Cooper,111000000
Mr. Big,2420000000
XYZ,584000000
W.A.S.P.,90500000
White Lion,785000000
Ozzy Osbourne,28000000
Gary Moore,126000000
Michael Schenker Group,3620000
Rainbow,975000000
Vixen,125000000
Queensrÿche,24300
Joan Jett & The Blackhearts,15100000
Survivor,318000000
Lita Ford,8520000
Skid Row,41100000
Mötley Crüe,19500
Warrant,245000000
Poison,298000000
Mötley Crüe,19500
Bon Jovi,45700000
Cinderella,164000000
Tesla,351000000
Van Halen,86700000
Slaughter,107000000
Damn Yankees,8130000
KISS,1760000000
Judas Priest,27600000
W.A.S.P.,94300000
Poison,309000000
Ozzy Osbourne,32800000
Dokken,8890000
Night Ranger,149000000
Tesla,363000000
Van Halen,85500000
Motörhead,41300
Kix,28000000
KISS,1610000000
Van Halen,85500000
Firehouse,19500000
Journey,1380000000
Faster Pussycat,2540000
ZZ Top,158000000
Black Sabbath,52800000
AC/DC,1480000000
KISS,1610000000
Dokken,8890000
Warrant,202000000
Ozzy Osbourne,32800000
Van Halen,85500000
David Lee Roth,46500000
Rainbow,974000000
Vixen,125000000
Heart,5350000000
Scorpions,416000000
The Police,2490000000
Air Supply,2240000000
Chicago,2010000000
John Lennon,102000000
Debbie Gibson,23300000
Van Morrison,check
REO Speedwagon,5440000
Air Supply,2240000000
Peabo Bryson,1980000
Lionel Richie,25000000
Bad English,3090000000
The Cars,10290000000
Kenny Rogers,40200000
Glenn Frey,12300000
New Kids On The Block,1170000000
Christopher Cross,356000000
George Benson,59300000
Journey,1380000000
Air Supply,2240000000
Spandau Ballet,4070000
Cheap Trick,234000000
Starship,38700000
Lionel Richie,25000000
Bryan Adams,84800000
a-ha,5620000000
Foreigner,110000000
George Michael,1110000000
Barbra Streisand,19100000
Phil Collins,102000000
Roxette,12500000
Bryan Adams,84800000
Peter Cetera,6510000
Berlin,1350000000
Dave Grusin,1200000
Chris de Burgh,7900000
Cyndi Lauper,11800000
Phil Collins,102000000
Paul Young,1480000000
Foreigner,110000000
Journey,1380000000
Bonnie Tyler,48800000
U2,205000000
Heart,5200000000
Chicago,2010000000
Richard Marx,55500000
Simply Red,1640000000
Tracy Chapman,23900000
The Bangles,93100000
Cutting Crew,508000000
Michael Bolton,68200000
Guns N' Roses,87900000
AC/DC,1480000000
Def Leppard,16300000
Van Halen,85500000
Queen,2650000000
Bon Jovi,45600000
The Clash,286000000
Billy Idol,35600000
The Police,2500000000
David Bowie,135000000
Tom Petty,70000000
U2,205000000
INXS,9970000
Journey,1380000000
KISS,1610000000
Aerosmith,27800000
Prince,1260000000
Bruce Springsteen,36800000
Scorpions,416000000
Poison,309000000
Mötley Crüe,91200
Whitesnake,22600000
Run–D.M.C.,10100
Guns N' Roses,80400000
Twisted Sister,67900000
Alice Cooper,111000000
Joan Jett & The Blackhearts,14600000
Poison,309000000
Heart,5200000000
A Flock Of Seagulls,4070000
Talking Heads,302000000
Depeche Mode,36600000
U2,205000000
The Smiths,67900000
The Cure,448000000
Michael Jackson,896000000
Bon Jovi,41600000
U2,205000000
Van Halen,85400000
R.E.M.,252000000
Jane's Addiction,5020000
Duran Duran,144000000
Skid Row,34700000
Men Without Hats,157000000
Pet Shop Boys,271000000
Survivor,317000000
Dead Or Alive,534000000
Tears For Fears,76400000
Soft Cell,474000000
Mötley Crüe,91200
Bryan Adams,84900000
Metallica,103000000
Dire Straits,24300000
Rick Springfield,20000000
Dexys Midnight Runners,513000
Beastie Boys,14600000
Joy Division,108000000
Bon Jovi,41600000
George Michael,1200000000
Loverboy,14100000
Tears For Fears,76400000
a-ha,5610000000
Frankie Goes To Hollywood,13000000
New Order,7700000000
Simple Minds,305000000
Journey,1370000000
Don Henley,46300000
Robert Palmer,116000000
U2,205000000
Jane's Addiction,5020000
Quiet Riot,17700000
Blondie,139000000
Warrant,202000000
Aerosmith,27800000
Ozzy Osbourne,32800000
Motörhead,41300
Iron Maiden,94400000
Iggy Pop,49700000
Billy Idol,31300000
U2,205000000
The Cult,275000000
Europe,5040000000
