Song,Release Year
Boulevard of Broken Dreams,2004
In The End,2001
Seven Nation Army,2003
By The Way,2002
How You Remind Me,2001
Bring Me To Life,2003
Last Resort,2000
Are You Gonna Be My Girl,2003
Mr. Brightside,2003
Sex on Fire,2008
The Middle,2001
Numb,2003
Smooth Criminal,
Can't Stop,2003
Chop Suey!,2001
Take Me Out,2004
I Miss You,2004
Best of You,2005
I Write Sins Not Tragedies,2006
Kryptonite,2000
The Kill (Bury Me),2006
Use Somebody,2008
No One Knows,2002
Jerk It Out,2003
Uprising,2009
Hey There Delilah,2006
Blurry,2001
American Idiot,2004
Welcome to the Black Parade,2006
Gives You Hell,2008
All My Life,2002
Like a Stone,2003
It's Been Awhile,2001
I Hate Everything About You,2003
Rollin' (Air Raid Vehicle),2000
Fat Lip,2001
The Pretender,2007
Savior,2009
Bodies,2001
"Sugar, We're Goin Down",2005
Last Nite,2001
Through Glass,2006
The Diary of Jane - Single Version,2006
Down With the Sickness,2000
Wish You Were Here,2001
Youth Of The Nation,2001
Vertigo,2004
Miss Murder,2006
I Bet You Look Good On The Dancefloor,2005
"Steady, As She Goes",2006
Falling Away from Me,1999
Crawling In The Dark,2002
I Stand Alone,2002
Woman,2006
Show Me How to Live,2003
The Red,2002
Remedy,2005
Plug In Baby,2001
Change (In the House of Flies) - In The House Of Flies LP Version,2000
Judith,2000
MIA (feat. Drake),2018
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018
White Boi,
Just Wanna Love You (feat. J. Balvin),
Beautiful (feat. Camila Cabello),2018
Celoso,
Good Vibes,
Real Friends,2017
Pa La Calle,
Pa Mí,
Wake Up in the Sky,2018
Está Rico,2018
Banana Clip - Spanish Version,2017
YAKWTFGO (feat. Kali Uchis),
Come With Me,
Como Si Na,
Blah,
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),
Mi Infinita,
Coqueta,
Sola,
Nuestro Planeta (feat. Reykon),
Hijo de Su Madre,
Lento,
Dicen,
BEBE,
I Like It,2018
Zooted (feat. French Montana & Farruko),
Havana - Remix,2017
Pum Pum,
Quiero Saber,
Como,
Anywhere Contigo,
No Gratis,
Díganle - Tainy Remix,
Sangria Wine,2018
All Day,
Just As I Am,
Nice & Slow,
Scooby Doo Pa Pa (Remix),
Don't Werk,
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2018
Pa Mi (with Ozuna),
Lo Siento,2018
Nuestra Cancion Pt. 2 (feat. Arcángel),
La Hora Loca,
Dinero - English Version,
Pum Pum (feat. Kap G & Play-N-Skillz),
Hora Loca,
Better With You,1998
NIGHTS LIKE THESE,2018
Alright,
Insecure,
Si Una Vez - (If I Once)[Spanglish Version],1994
Finesse (Remix) [feat. Cardi B],2018
Belong To U,
Sunny Daze,
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",
Island,
Crazy In Love,2003
Rock Your Body,2003
Beautiful Girls,2007
Toxic,2004
Michael Jackson x Mark Ronson: Diamonds are Invincible,2018
Yeah!,2004
Live Your Life (feat. Rihanna),2008
Hips Don't Lie,2006
"Hey, Soul Sister",2009
Pumped Up Kicks,2010
Love Never Felt so Good,2014
Hall of Fame,2012
All of Me,2013
Drops of Jupiter,2001
We Can't Stop,2013
Fighter,2003
Since U Been Gone,2004
Hey Ya! - Radio Mix / Club Mix,2003
TiK ToK,
Look At Me Now,2011
SexyBack,2006
With You,2007
Breakeven,2008
I Know You Want Me (Calle Ocho),2011
Bye Bye Bye,2000
Complicated,2002
Let Me Love You,2004
Beautiful,2002
Raise Your Glass,2010
Timber,2013
What Makes You Beautiful,2011
No One,2007
Sk8er Boi,2002
Womanizer,2008
Give Me Everything,2011
Single Ladies (Put a Ring on It),2008
Bleeding Love,2007
Lose My Breath,2004
Love Song,2007
Ms. Jackson,2000
Die Young,2012
Survivor,2001
Oops!...I Did It Again,2000
Cry Me a River,2002
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013
Whatever You Like,2008
"One, Two Step",2004
Unwritten,2004
Wrecking Ball,2013
So What,2008
"Whenever, Wherever",2001
Baby Boy,2003
It's Gonna Be Me,2000
My Boo,2004
Sex on Fire,2008
Stronger (What Doesn't Kill You),2012
Over My Head (Cable Car),2005
For the First Time,2010
Girlfriend,2007
Fallin',2001
Use Somebody,2008
How to Save a Life,2006
Not Over You,2011
Before He Cheats,2006
Dirrty (feat. Redman),2002
Caught Up,2004
If I Ain't Got You,2004
Wherever You Will Go,2001
You Found Me,2008
"Independent Women, Pt. 1",2000
Because of You,2005
Get The Party Started,2001
The Anthem,2003
I Don't Want to Be,2004
The Way You Move (feat. Sleepy Brown) - Club Mix,2003
Better in Time,2008
Over You,2007
The Great Escape,2007
Your Body Is a Wonderland,2002
Superman (It's Not Easy),2001
Vivir Mi Vida,2013
La Vida Es Un Carnaval,1998
Lambada - Original Version 1989,1989
La Camisa Negra,2005
La Gota Fría,1993
Suavemente,1998
Bailando - Spanish Version,2014
Danza Kuduro,2010
Conga,1985
La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,2012
Guantanamera,
El Matador,1994
Amor Prohibido,1994
Hips Don't Lie,2006
Mi Gente,2017
Obsesion,2002
Let's Get Loud,2000
Oye Como Va,
Despacito (Featuring Daddy Yankee),2017
Bamboleo,
Pedro Navaja,1978
Gasolina,2004
Mambo No 5,1950
De Música Ligera,1990
Macarena,1995
La Bamba,1958
Querida,
Maria Maria - Radio Mix,1999
La ingrata,
Corazón partio,1997
I Know You Want Me (Calle Ocho),2011
Livin' la Vida Loca,1999
Rebelión,
La Maza,
Amor Eterno,
Besame Mucho,
Mais Que Nada,1963
El Cantante,
Chan Chan,1997
Amigo,
The Girl From Ipanema - Stereo Version,1963
Oye Mi Amor,
Latinoamérica,2011
"Soy un Truhán, Soy un Señor",1998
Mediterraneo,
Gracias a la Vida,2010
La Cumparsita,
Paloma negra,
El Rey,
Feliz Navidad,1970
All Along the Watchtower,1968
My Generation - Stereo Version,1965
(I Can't Get No) Satisfaction,1965
"Hello, I Love You",1968
Whole Lotta Love,1969
Hey Jude - Remastered 2015,2015
White Room,1968
You Really Got Me - Mono Mix,1964
Surfin' U.S.A. - Remastered,1963
"Oh, Pretty Woman",1964
Back In The U.S.S.R. - 2018 Mix,2018
For What It's Worth,1966
Fortunate Son,1969
Born To Be Wild - Single Version,1968
House Of The Rising Sun,1964
Louie Louie,1957
I Heard It Through The Grapevine - Single Version (Mono),1968
Crimson And Clover - Single Version,1968
Evil Ways,1969
Purple Haze,1967
California Dreamin' - Single Version,1965
Like a Rolling Stone,1965
Suite: Judy Blue Eyes - Remastered,
Turn! Turn! Turn! (To Everything There Is a Season),1965
I Saw Her Standing There - Remastered 2009,2009
Light My Fire,1967
Pinball Wizard,1969
The Sounds of Silence,1965
Green Onions,1962
Sweet Caroline - Single Version,1969
Good Lovin' - Single Version,1965
The Twist,1960
Sunshine Of Your Love,1967
Hit the Road Jack,1961
Proud Mary,1969
Dazed And Confused,1967
Summertime Blues,
I Want To Hold Your Hand - Remastered 2015,2015
Runaround Sue,1961
All Day and All of the Night - 2014 Remastered Version,2014
River Deep - Mountain High,1966
Summer in the City - Remastered,1966
Jumpin' Jack Flash - Mono / Remastered,1968
Foxey Lady,1967
Somebody to Love,1967
Time Has Come Today,1967
Heart Full of Soul,1965
Do You Believe in Magic?,1965
"Paint It, Black - Mono",1966
Good Vibrations - Remastered,1966
Psychotic Reaction,1966
Yesterday - Remastered 2009,2009
Nights In White Satin - Single Version / Mono Mix,1967
Space Oddity - 2015 Remastered Version,2015
Magic Carpet Ride,1968
Needles and Pins - Mono,
The Weight - Remastered,1968
Bring It On Home to Me,1962
Bad Moon Rising,1969
Crying,1961
Revolution - Remastered,1968
Shop Around,1960
I Fought The Law,1960
The Times They Are A-Changin',
Honky Tonk Women,1969
The End - Remastered,1967
She Loves You - Mono / Remastered,1963
Heartbreaker,1969
Brown Eyed Girl,1967
Gimme Shelter,1969
Touch Me,1968
Surf City - Remastered 1990 / Stereo Remix,1990
White Rabbit,1967
Green River,1969
I Get Around (Mono) - Mono,1964
Mr. Tambourine Man,1965
With A Little Help From My Friends - Remastered 2009,2009
Hush - 2014 Remastered Version,2014
For Your Love,1965
Street Fighting Man,1968
Blowin' In the Wind,1963
In My Room - Remastered,1963
I'm A Man,1967
Gloria - Stereo Version,1964
Itchycoo Park,1967
Wild Thing,1966
Care Of Cell 44,1967
See Emily Play - 2016 Remastered Version,2016
Alone Again Or - 2015 Remastered Version,2015
Psychotic Reaction - Rarities Version,
Slip Inside This House - Stereo LP Version,
I Had Too Much To Dream (Last Night),1966
96 Tears,1966
Have Love Will Travel,1959
Kick out the Jams,1969
I Hate You,
I Wanna Be Your Dog,1969
I'm Waiting For The Man - Album Version (Stereo),1967
Eight Miles High,1966
Wipe Out,1963
More Than Words,1991
Free Fallin',1989
Landslide,
Lean on Me,1972
Hotel California - Remastered,1976
Fast Car,1988
You're So Vain,1972
Dust in the Wind,1978
Ooh La La,1973
You've Got A Friend,1971
Redemption Song,1980
Crazy Love,1970
I'm on Fire,1985
Heart Of Gold,1972
Wildflowers - Remastered,1988
"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972
In The Air Tonight - 2015 Remastered,2015
Wicked Game - Remastered,1990
Hallelujah,1984
My Sweet Lord,1970
A Horse with No Name,1971
Jolene,1973
Let It Be - Remastered 2009,2009
Maggie May,1971
Me and Julio Down by the Schoolyard,1972
Where You Lead,1971
Me and Bobby McGee,1969
If You Could Read My Mind,1970
Pink Moon,1972
Walkin' Back to Georgia,1972
Going To California,1971
"My My, Hey Hey (Out of the Blue)",1979
I Walk the Line,1956
Across The Universe - Remastered 2009,2009
Wild World,
California,1971
"Dreams (Sessions, Roughs & Outtakes) - 2004 Remastered Edition",2004
Tangled up in Blue,1975
Imagine - Remastered 2010,2010
Maybe I’m Amazed - Remastered 2011,2011
Tom's Diner,1987
Easy,1977
Up Where We Belong,1982
Life On Mars? - 2015 Remastered Version,2015
Personal Jesus - Acoustic Version,1989
Wuthering Heights,1978
Stuck In The Middle With You - Remastered,1973
Just The Two Of Us (feat. Bill Withers),1981
(You Make Me Feel Like) A Natural Woman,1967
Cecilia,1970
Our House,1970
And It Stoned Me,1970
Famous Blue Raincoat,1971
All Things Must Pass,1970
Stand By Me - Remastered,1975
"Baby, I Love Your Way",1975
Solsbury Hill,1977
Boulder To Birmingham - Remastered,
Something On Your Mind,1971
You're The Inspiration - 2006 Remastered Version,2006
Ripple,1970
You Are So Beautiful,1974
Blue Bayou,1963
Bohemian Rhapsody - Remastered 2011,2011
Stairway To Heaven,1971
Hotel California - Remastered,1976
London Calling - Remastered,1979
Riders On The Storm,1971
Rock And Roll All Nite,1975
Who Are You,1978
Changes - 2015 Remastered Version,2015
Who'll Stop The Rain,1970
Me and Bobby McGee,1969
Wild Horses,1971
Imagine - Remastered 2010,2010
Let It Be - Remastered 2009,2009
Dream On,1973
Roxanne - Remastered 2003,2003
Highway to Hell,1979
Bang a Gong (Get It On) - Remastered Version,1971
Smoke On the Water,1973
Black Magic Woman,1968
Message In A Bottle - Remastered 2003,2003
Free Bird,1973
Cocaine,1977
Lola - Coca Cola Version,1970
Black Dog,1971
Blitzkrieg Bop - 2016 Remastered Version,2016
I Want You to Want Me,1977
Black Diamond,1974
Blinded By The Light,1973
American Girl,1977
Brain Damage,
Comfortably Numb,1980
Born to Run,1975
Layla - 40th Anniversary Version / 2010 Remastered,2010
Just What I Needed,1978
Anarchy In The U.K.,1976
American Pie,1971
Aqualung,1971
Won't Get Fooled Again - Original Album Version,1971
Iron Man - Remastered Version,1971
The Boys Are Back in Town,1976
Walk This Way,1975
Maggie May - Remastered Version,1971
The Joker,1973
We Will Rock You - Remastered,1977
Walk On the Wild Side,1972
Brown Sugar,1971
American Woman - Remastered,1970
(Don't Fear) The Reaper,1976
Heart of Gold,1972
Running On Empty,1978
Sultans Of Swing,1978
"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972
Dreams - 2004 Remastered Edition,2004
We Are The Champions - Remastered 2011,2011
You Ain't Seen Nothing Yet,1974
"Another Brick in the Wall, Pt. 1",1979
Roundabout - Remastered Version,1972
Ramblin' Man,1973
Fire And Rain,1970
My Sweet Lord,1970
Baba O'Riley,1971
Heart Of Glass - Special Mix,1979
My Sharona,1979
Bennie And The Jets - Remastered 2014,2014
Baby Hold On,1978
Tangled up in Blue,1975
Runnin' With The Devil - 2015 Remastered Version,2015
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,1976
All the Young Dudes,1972
All Right Now,1970
Backstreets,1975
Barracuda,1977
Ballroom Blitz,1973
Black Betty,
Beast Of Burden - Remastered,1978
Band On The Run - Remastered 2010,2010
Breakdown,1976
Carry on Wayward Son,1976
Cat Scratch Fever,1977
Bridge Over Troubled Water,1970
Caravan,1970
Can't Get Enough - Remastered Version,1974
Cheap Sunglasses,1979
China Grove,1973
Foreplay / Long Time,1976
Come Sail Away,1977
Give A Little Bit,1977
Doctor My Eyes,1972
Feel Like Makin' Love - 2015 Remastered Version,2015
Do You Feel Like We Do,1973
L.A. Woman,1971
The Lamb Lies Down On Broadway (Platinum Collection Version),1974
Knockin' On Heaven's Door - Remastered,1973
Deacon Blues,1978
Life In The Fast Lane - Remastered,1977
Life's Been Good,1978
Locomotive Breath,1971
Like A Hurricane,1977
Livin' Thing,1976
Paradise By the Dashboard Light,1978
